全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
222127,1,静岡県焼津市,ふるさとの川瀬戸川便益施設,フルサトノカワセトガワベンエキシセツ,,222127,,静岡県焼津市駅北5丁目2-11,静岡県,焼津市,駅北5丁目,2-11,,施設内,34.8760119,138.3207625,,,3,2,0,1,2,0,2,0,0,0,0,有,無,無,,,,,,
222127,2,静岡県焼津市,原浜海岸トイレ,ハラハマカイガントイレ,,222127,,静岡県焼津市田尻1535-1,静岡県,焼津市,田尻,1535-1,,緯度経度を確認,34.8272517,138.3348893,,,4,3,0,1,2,0,2,0,0,0,1,有,有,無,,,,,,
222127,3,静岡県焼津市,吉永海岸トイレ,ヨシナガカイガントイレ,,222127,,静岡県焼津市吉永（官有無番地）,静岡県,焼津市,吉永（官有無番地）,,,緯度経度を確認,34.7904097,138.3061103,,,4,3,1,0,3,3,0,0,0,0,0,無,無,無,,,,,,
222127,4,静岡県焼津市,高新田海岸トイレ,タカシンデンカイガントイレ,,222127,,静岡県焼津市高新田2460-3,静岡県,焼津市,高新田,2460-3,,緯度経度を確認,34.7936031,138.3084196,,,2,2,0,0,0,0,0,2,0,2,0,有,無,無,,,,,,
222127,5,静岡県焼津市,大井川河口野鳥園トイレ,オオイガワカコウヤチョウエントイレ,,222127,,静岡県焼津市飯淵2036大井川河口野鳥園,静岡県,焼津市,飯淵,2036,大井川河口野鳥園,緯度経度を確認,34.7716527,138.2971483,,,3,2,1,0,2,2,0,0,0,0,1,有,無,無,,,,,,
222127,6,静岡県焼津市,吉津観光トイレ,ヨシヅカンコウトイレ,,222127,,静岡県焼津市吉津14-3,静岡県,焼津市,吉津,14-3,,緯度経度を確認,34.901641,138.3298686,,,3,2,1,0,2,2,0,0,0,0,1,有,無,無,,,,,,
222127,7,静岡県焼津市,坂本観光トイレ,サカモトカンコウトイレ,,222127,,静岡県焼津市坂本1373-4,静岡県,焼津市,坂本,1373-4,,緯度経度を確認,34.8940425,138.3154811,,,3,2,1,0,2,2,0,0,0,0,1,有,無,無,,,,,,
222127,8,静岡県焼津市,浜当目山側トイレ,ハマトウメヤマガワトイレ,,222127,,静岡県焼津市浜当目3-1731-1-1,静岡県,焼津市,浜当目,3-1731-1-1,,緯度経度を確認,34.8801904,138.3361879,,,3,2,1,0,2,2,0,0,0,0,1,有,無,無,,,,,,
222127,9,静岡県焼津市,浜当目亀トイレ,ハマトウメカメトイレ,,222127,,静岡県焼津市浜当目3-1739-2,静岡県,焼津市,浜当目,3-1739-2,,緯度経度を確認,34.8782596,138.3337122,,,3,2,1,0,2,0,2,0,0,0,1,有,無,無,,,,,,
222127,10,静岡県焼津市,石脇観光トイレ,イシワキカンコウトイレ,,222127,,静岡県焼津市石脇上592-1,静岡県,焼津市,石脇上,592-1,,緯度経度を確認,34.8921116,138.3227085,,,3,2,1,0,2,2,0,0,0,0,1,有,無,無,,,,,,
